Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. extensor digitorum;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus · MCP · PIP · DIP;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Lig. anulare radii;Dorsalaponeurosen des II.–V. Fingers, Basen der Grundphalangen II–V;"Dorsalextension im Handgelenk; Streckung der Finger II-V";Dorsalextension · MCP-Extension · IP-Extension;N. radialis;C6, C7, C8;Strecksehnenruptur, Epicondylitis lateralis;nein;;1;1;ja;M. extensor digitorum;extensor-digitorum
M. extensor indicis;;Obere Extremität;Hand & Finger;Art. manus · MCP · PIP · DIP;Hand;Distaler Teil der Facies posterior ulnae und Membrana interossea;Dorsalaponeurose des Zeigefingers;"Streckt den Zeigefinger; unterstützt die Dorsalextension im Handgelenk";Dorsalextension · Extension des Zeigefingers;N. radialis;C6, C7, C8;Eigenständige Extension des Zeigefingers;nein;;2;1;ja;M. extensor indicis;extensor-indicis
M. extensor pollicis brevis;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk · MCP;Hand;Facies posterior des Radius und Membrana interossea;Basis der Grundphalanx des Daumens;"Streckt den Daumen vor allem im Grundgelenk; unterstützt die Extension im Sattelgelenk";CMC-Extension · MCP-Extension;N. radialis;C6, C7, C8;Tendovaginitis de Quervain;nein;;2;1;ja;M. extensor pollicis brevis;extensor-pollicis-brevis
M. extensor pollicis longus;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk · MCP · IP;Hand;Facies posterior ulnae und Membrana interossea;Basis der Endphalanx des Daumens;"Streckt den Daumen bis ins Endgelenk; unterstützt die Dorsalextension im Handgelenk";Dorsalextension · CMC-Extension · MCP-Extension · IP-Extension;N. radialis;C6, C7, C8;Ruptur nach distaler Radiusfraktur;nein;;2;1;ja;M. extensor pollicis longus;extensor-pollicis-longus
M. flexor carpi radialis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus medialis humeri;Basis Os metacarpale II (manchmal auch III);Palmarflexion und Radialabduktion im Handgelenk;Palmarflexion · Radialabduktion · Pronation;N. medianus;C6, C7, C8;Karpaltunnelsyndrom, Epicondylitis medialis;nein;;1;2;ja;M. flexor carpi radialis;flexor-carpi-radialis
M. flexor carpi ulnaris;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus medialis humeri, medialer Olekranon und Margo posterior ulnae;Os pisiforme, Hamulus ossis hamati, Basis Os metacarpale V;Palmarflexion und Ulnarabduktion im Handgelenk;Palmarflexion · Ulnarabduktion;N. ulnaris;C7, C8, Th1;Ulnarisrinnensyndrom;nein;;1;1;ja;M. flexor carpi ulnaris;flexor-carpi-ulnaris
M. flexor digiti minimi brevis;;Obere Extremität;Hand & Finger;MCP;Hand;Hamulus ossis hamati und Retinaculum flexorum;Basis der Grundphalanx des V. Fingers, ulnares Sesambein;Flexion im MCP-Gelenk des kleinen Fingers;MCP-Flexion · Abduktion;N. ulnaris;C8, Th1;Ulnarisparese;nein;;2;1;ja;M. flexor digiti minimi brevis#manus;flexor-digiti-minimi-brevis-upper-hand-mcp-flexion
M. flexor digitorum profundus;;Obere Extremität;Hand & Finger;Art. manus · MCP · PIP · DIP;Hand;Facies anterior und medialis ulnae und Membrana interossea;Basis der distalen Fingerphalangen II–V;"Palmarflexion im Handgelenk; Flexion der Finger II-V bis in die Endgelenke";Palmarflexion · MCP-Flexion · PIP-Flexion · DIP-Flexion;N. medianus (II, III), N. ulnaris (IV, V);C7, C8, Th1;DIP-Flexion nur durch FDP möglich, Jerseyfingerruptur;nein;;2;1;ja;M. flexor digitorum profundus;flexor-digitorum-profundus
M. flexor digitorum superficialis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus · MCP · PIP;Ellenbogen · Hand;Epicondylus medialis humeri, Facies medialis ulnae, proximaler Margo anterior radii;Mittelphalangen des II.–V. Fingers;"Palmarflexion im Handgelenk; Flexion in MCP- und PIP-Gelenken der Finger II-V";Palmarflexion · MCP-Flexion · PIP-Flexion;N. medianus;C7, C8, Th1;Karpaltunnelsyndrom, Schnappfinger;nein;;2;1;ja;M. flexor digitorum superficialis;flexor-digitorum-superficialis
M. flexor pollicis brevis;;Obere Extremität;Hand & Finger;Daumensattelgelenk · MCP;Hand;"Caput superficiale: Tuberculum ossis trapezii und Retinaculum flexorum; Caput profundum: Os trapezoideum, Os capitatum, Ligg. metacarpalia palmaria";Basis der Daumengrundphalanx, radiales Sesambein;Beugt den Daumen und hilft bei Gegenüberstellung und Heranführung;CMC-Flexion · Adduktion · Opposition · MCP-Flexion;N. medianus, N. ulnaris;C8, Th1;Medianusparese (Caput superficiale), Ulnarisparese (Caput profundum);nein;Daumenballen (Thenar);2;2;ja;M. flexor pollicis brevis;flexor-pollicis-brevis
M. flexor pollicis longus;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk · MCP · IP;Hand;Epicondylus medialis humeri, ventrale Seite des Radius und Membrana interossea;Basis der Endphalanx des Daumens;"Beugt den Daumen; unterstützt die Palmarflexion im Handgelenk";Palmarflexion · Daumenflexion;N. medianus;C6, C7, C8;Karpaltunnelsyndrom;nein;;2;1;ja;M. flexor pollicis longus;flexor-pollicis-longus
M. opponens digiti minimi;;Obere Extremität;Hand & Finger;CMC;Hand;Hamulus ossis hamati und Retinaculum flexorum;Os metacarpale V;Opposition des kleinen Fingers im CMC-Gelenk;CMC-Opposition;N. ulnaris;C8, Th1;Ulnarisparese;nein;;2;1;ja;M. opponens digiti minimi#manus;opponens-digiti-minimi-upper-hand-cmc-opposition
M. opponens pollicis;;Obere Extremität;Hand & Finger;Daumensattelgelenk;Hand;Os trapezium und Retinaculum flexorum;Os metacarpale I;Opposition des Daumens im Sattelgelenk;CMC-Adduktion · Opposition;N. medianus;C6, C7;Medianusparese – Verlust der Daumenopposition;nein;Daumenballen (Thenar);2;1;ja;M. opponens pollicis;opponens-pollicis
M. palmaris brevis;;Obere Extremität;Hand & Finger;;Hand;Aponeurosis palmaris;Haut der ulnaren Handseite;Spannt die Haut am Kleinfingerballen;Spannt die Haut des Kleinfingerballens;N. ulnaris;C8, Th1;Ulnarisparese;nein;;3;1;ja;M. palmaris brevis;palmaris-brevis
M. palmaris longus;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus medialis humeri;Aponeurosis palmaris;"Palmarflexion im Handgelenk; spannt die Palmaraponeurose";Palmarflexion;N. medianus;C8, Th1;Fehlt bei ca. 14% der Menschen, Sehnentransplantat-Spender;nein;;2;1;ja;M. palmaris longus;palmaris-longus
Mm. interossei dorsales I–IV;;Obere Extremität;Hand & Finger;MCP · PIP · DIP;Hand;Einander zugekehrte Seiten der Ossa metacarpi I–V;Dorsalaponeurosen der Finger II–IV;"Abduktion der Finger vom Mittelfinger weg; zusätzlich MCP-Flexion und IP-Extension";MCP-Flexion · IP-Extension · Abduktion;N. ulnaris;C8, Th1;Ulnarisparese – Atrophie der Interossei;nein;;3;1;ja;Mm. interossei dorsales I–IV;interossei-dorsales-i-iv
Mm. interossei palmares I–III;;Obere Extremität;Hand & Finger;MCP · PIP · DIP;Hand;Ulnare Seite des Os metacarpale II, radiale Seite der Ossa metacarpi IV und V;Dorsalaponeurosen der Finger II, IV und V;"Adduktion der Finger zum Mittelfinger; zusätzlich MCP-Flexion und IP-Extension";MCP-Flexion · IP-Extension · Adduktion;N. ulnaris;C8, Th1;Ulnarisparese – Krallenhand;nein;;3;1;ja;Mm. interossei palmares I–III;interossei-palmares-i-iii
Mm. lumbricales I–IV;;Obere Extremität;Hand & Finger;MCP · PIP · DIP;Hand;Sehnen des M. flexor digitorum profundus;Dorsalaponeurosen der Finger II–V;MCP-Flexion, IP-Extension und leichte Radialabduktion der Finger II-V;MCP-Flexion · IP-Extension · Radialabduktion;N. medianus (I, II), N. ulnaris (III, IV);C8, Th1;Lumbrikale-Plus-Phänomen;nein;;3;1;ja;Mm. lumbricales I–IV;lumbricales-i-iv
M. coracobrachialis;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Proc. coracoideus der Scapula;Margo medialis humeri;Flexion und Adduktion im Schultergelenk;Flexion · Adduktion;N. musculocutaneus;C6, C7;N. musculocutaneus-Lähmung;nein;;1;2;ja;M. coracobrachialis;coracobrachialis
M. deltoideus;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;"Pars clavicularis: Extremitas acromialis der Clavicula; Pars acromialis: Akromion; Pars spinalis: Spina scapulae";Tuberositas deltoidea humeri;"Vor allem Abduktion; je nach Faserzug zusätzlich Flexion, Extension sowie Innen- oder Außenrotation";Abduktion · Flexion · Extension · Innenrotation · Außenrotation;N. axillaris;C5, C6;N. axillaris-Lähmung, Schulterluxation;nein;;1;3;ja;M. deltoideus;deltoideus
M. infraspinatus;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Fossa infraspinata der Scapula;Mittlerer Teil des Tuberculum majus, Gelenkkapsel;"Außenrotation; unterstützt die Abduktion bzw. Adduktion je nach Faseranteil";Außenrotation · Abduktion · Adduktion;N. suprascapularis;C4, C5, C6;Rotatorenmanschettenruptur;nein;Rotatorenmanschette;1;2;ja;M. infraspinatus;infraspinatus
M. latissimus dorsi;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Procc. spinosi Th7–Th12, Fascia thoracolumbalis, Crista iliaca (hinterer Teil), 10.–12. Rippe;Crista tuberculi minoris humeri;"Extension, Adduktion und Innenrotation im Schultergelenk; zieht den Rumpf bei fixierten Armen heran";Extension · Adduktion · Innenrotation;N. thoracodorsalis;C6, C7, C8;Klimmzugmuskel, Verkürzung bei Rundrücken;nein;;1;1;ja;M. latissimus dorsi;latissimus-dorsi
M. levator scapulae;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. transversi C1–C4 (Tubercula posteriora);Angulus superior und oberer Teil der Margo medialis scapulae;"Elevation und Abwärtsrotation der Scapula; ipsilaterale HWS-Beugung und -Rotation";Elevation · Innenrotation;Plexus cervicalis, N. dorsalis scapulae;C4, C5;Häufige Verspannungen, Torticollis;nein;;1;3;ja;M. levator scapulae;levator-scapulae
M. pectoralis major;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;"Pars clavicularis: Mediale Clavicula; Pars sternocostalis: Ventrale Sternumseite und 2.–6. Rippenknorpel; Pars abdominalis: Rektusscheide";Crista tuberculi majoris humeri;"Adduktion und Innenrotation; je nach Anteil zusätzlich Flexion oder Extension im Schultergelenk";Adduktion · Innenrotation · Flexion;Nn. pectorales mediales et laterales;C5, C6, C7, C8, Th1;Pectoralis-major-Ruptur, Verkürzung bei Protraktionshaltung;nein;;1;2;ja;M. pectoralis major;pectoralis-major
M. pectoralis minor;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Ventrale Seite der 3.–5. Rippe;Proc. coracoideus der Scapula;"Senkt die Scapula und zieht sie nach vorn; bei fixiertem Schultergürtel inspiratorische Nebenfunktion";Depression · Protraktion;N. pectoralis medialis;C6, C7, C8, Th1;Verkürzung bei Rundrücken, Thoracic-Outlet-Syndrom;nein;;1;2;ja;M. pectoralis minor;pectoralis-minor
M. rhomboideus major;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. spinosi Th1–Th4;Margo medialis scapulae;Retraktion, leichte Elevation und Abwärtsrotation der Scapula;Elevation · Retraktion · Innenrotation;N. dorsalis scapulae;C4, C5;Schwäche bei Skapula-Instabilität;nein;;1;1;ja;M. rhomboideus major;rhomboideus-major
M. rhomboideus minor;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. spinosi C6–C7 und Lig. nuchae;Margo medialis scapulae;Retraktion, leichte Elevation und Abwärtsrotation der Scapula;Elevation · Retraktion · Innenrotation;N. dorsalis scapulae;C4, C5;Schwäche bei Skapula-Instabilität;nein;;1;1;ja;M. rhomboideus minor;rhomboideus-minor
M. serratus anterior;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;"Pars superior: 1.–2. Rippe; Pars intermedia: 2.–3. Rippe; Pars inferior: 4.–9./10. Rippe";"Angulus superior (Pars superior); Margo medialis (Pars intermedia); Angulus inferior (Pars inferior)";"Protraktion und Stabilisierung der Scapula am Thorax; Pars inferior unterstützt die Aufwärtsrotation";Protraktion · Laterorotation;N. thoracicus longus;C5, C6, C7;Scapula alata bei Lähmung des N. thoracicus longus;nein;;2;2;ja;M. serratus anterior;serratus-anterior
M. subclavius;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Oberseite der 1. Rippe;Unterseite der Clavicula, Extremitas acromialis;Stabilisiert und senkt die Clavicula;Depression der Clavicula;N. subclavius;C5, C6;Schutzfunktion für subclaviale Gefäße;nein;;2;1;ja;M. subclavius;subclavius
M. subscapularis;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Fossa subscapularis der Scapula (ventrale Seite);Crista tuberculi minoris humeri;Innenrotation und Adduktion im Schultergelenk;Innenrotation · Adduktion;N. subscapularis;C5, C6;Rotatorenmanschettenruptur, Subscapularis-Insuffizienz;nein;Rotatorenmanschette;1;3;ja;M. subscapularis;subscapularis
M. supraspinatus;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Fossa supraspinata der Scapula;Kranialer Teil des Tuberculum majus, Gelenkkapsel;"Initiiert die Abduktion; unterstützt die Außenrotation";Abduktion · Außenrotation;N. suprascapularis;C4, C5, C6;Impingement-Syndrom, Rotatorenmanschettenruptur;nein;Rotatorenmanschette;1;2;ja;M. supraspinatus;supraspinatus
M. teres major;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Kaudaler Teil der Margo lateralis und Angulus inferior der Scapula;Crista tuberculi minoris humeri;Innenrotation, Adduktion und Extension im Schultergelenk;Innenrotation · Adduktion · Extension;N. subscapularis;C5, C6, C7;Verkürzung bei Innenrotationskontraktur;nein;;1;2;ja;M. teres major;teres-major
M. teres minor;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Margo lateralis der Scapula;Kaudaler Teil des Tuberculum majus, Gelenkkapsel;Außenrotation und Adduktion im Schultergelenk;Außenrotation · Adduktion;N. axillaris;C5, C6;Rotatorenmanschettenruptur;nein;Rotatorenmanschette;1;2;ja;M. teres minor;teres-minor
M. trapezius – Pars ascendens;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. spinosi Th3–Th12;Laterales Drittel der Spina scapulae;"Senkung der Scapula; unterstützt die Aufwärtsrotation";Depression · Retraktion · Laterorotation;N. accessorius (XI), Plexus cervicalis;C2, C3, C4;Schwäche begünstigt Schulterhochstand;nein;;1;2;ja;M. trapezius – Pars ascendens;trapezius-pars-ascendens
M. trapezius – Pars descendens;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Linea nuchae superior, Protuberantia occipitalis externa, Lig. nuchae C1–C6;Laterales Drittel der Clavicula, Akromion;"Hebt die Scapula und unterstützt die Aufwärtsrotation; unterstützt HWS-Bewegungen";Elevation · Laterorotation;N. accessorius (XI), Plexus cervicalis;C2, C3, C4;Verspannungen, Zervikalsyndrom, Triggerpunkte;nein;;1;2;ja;M. trapezius – Pars descendens;trapezius-pars-descendens
M. trapezius – Pars transversa;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Unterer Teil des Lig. nuchae (C6–C7), Procc. spinosi Th1–Th3;Akromion, lateraler Teil der Spina scapulae;Retraktion der Scapula;Retraktion;N. accessorius (XI), Plexus cervicalis;C2, C3, C4;Schwäche führt zu Skapula-Protraktion;nein;;1;2;ja;M. trapezius – Pars transversa;trapezius-pars-transversa
