Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. flexor hallucis brevis;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh I;Sprunggelenk & Fuß;Ossa cuneiformia II et III und Os cuboideum;"Mediale und laterale Basis der proximalen Phalanx des I. Zehs; Mediales und laterales Sesambein";"Beugt die Großzehe im MTP-Gelenk; unterstützt Abduktion und Adduktion; hält die Sesambeine in ihrer Gleitrinne unter dem ersten Metatarsalkopf";Zeh I: Flexion · Abduktion und Adduktion des MTP-Gelenks;N. tibialis (N. plantaris medialis und lateralis);;"Bei Hallux valgus entgleist das Sesambein aus seiner Führungsrinne; Sesambeinf rakturen entstehen durch direkte Belastung oder Ermüdung";nein;;2;1;ja;M. flexor hallucis brevis;flexor-hallucis-brevis
M. flexor hallucis longus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris · MTP und IP Zeh I;Sprunggelenk & Fuß;Facies posterior fibulae (distal);Zeh I, plantare distale Phalanx (Basis);"Plantarflektiert den Fuß und supiniert; beugt die Großzehe in MTP- und IP-Gelenk; wichtig beim Abstoßen in der Gangabwicklung";"Fuß: Plantarflexion · Supination; Zeh I: Flexion des MTP- und IP-Gelenks";N. tibialis;;"Hallux-flexus-Deformität durch Verkürzung; Tarsaltunnelsyndrom kann FHL-Sehne betreffen; bei Ballett-Tänzerinnen typische Überlastungstendinitis hinter dem Innenknöchel";nein;;2;2;ja;M. flexor hallucis longus;flexor-hallucis-longus
M. gastrocnemius;;Untere Extremität;Fuß & Sprunggelenk;Art. genus · Art. talocruralis;Kniegelenk · Sprunggelenk & Fuß;"Caput mediale: Femur, Facies poplitea, Condylus medialis; Caput laterale: Femur, Facies poplitea, Condylus lateralis";Tuber calcanei (über Achillessehne);"Beugt das Knie und plantarflektiert den Fuß; unterstützt die Supination; sorgt als zweigelenkiger Muskel für die Kraftentfaltung beim Zehenstand und Abstoßen";"Knie: Flexion; Fuß: Plantarflexion · Supination";N. tibialis;;"Wadenkrämpfe entstehen häufig durch Erschöpfung oder Elektrolytmangel; Achillessehnenrupturen treffen oft den Übergang zwischen Muskel und Sehne; als Suralispumpe fördert er venoses Blut herzwärts";nein;Oberflächliche Wadenmuskulatur;1;2;ja;M. gastrocnemius;gastrocnemius
M. opponens digiti minimi;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh V;Sprunggelenk & Fuß;"Lig. plantare longum; Basis des Os metatarsale V; Sehnenscheide des M. fibularis longus";Lateraler Rand des Os metatarsale V;Unterstützt Flexion und Abduktion der Kleinzehe und stabilisiert das laterale Längsgewölbe des Fußes;Zeh V: Flexion und Abduktion des MTP-Gelenks;N. tibialis (N. plantaris lateralis);S2, S3;"Wird in manchen Darstellungen nicht als eigener Muskel geführt; funktionell unterstützt er die Stabilität des äußeren Fußrandes";nein;;3;1;ja;M. opponens digiti minimi;opponens-digiti-minimi-lower-fuss-zeh-v-flexion-und-abduktion-des-mtp-gelenks
M. plantaris;;Untere Extremität;Fuß & Sprunggelenk;Art. genus · Art. talocruralis;Kniegelenk · Sprunggelenk & Fuß;Femur, Facies poplitea;Tuber calcanei;"Schwächer Plantarflexor und Kniebeuger; bei fehlendem Muskel übernehmen Gastrocnemius und Soleus vollständig seine Funktion";"Knie: Flexion; Fuß: Plantarflexion · Supination";N. tibialis;;"Der Muskel fehlt bei vielen Menschen ganz; meist bleibt das ohne Beschwerden, die Sehne wird aber teils als Transplantat genutzt";nein;Oberflächliche Wadenmuskulatur;3;1;ja;M. plantaris;plantaris
M. quadratus plantae;;Untere Extremität;Fuß & Sprunggelenk;;Sprunggelenk & Fuß;Tuber calcanei (plantare Seite);M. flexor digitorum longus (Endsehne);Richtet die Zugrichtung des langen Zehenbeugers aus und unterstützt das Beugen der Kleinzehen;Zeh II–V: Flexion der MTP- und IP-Gelenke (unterstützt M. flexor digitorum longus);N. tibialis (N. plantaris lateralis);;"Verbessert die Kraftübertragung auf die Kleinzehen; Schwäche macht die plantare Zehenbeugung weniger sauber";nein;;3;1;ja;M. quadratus plantae;quadratus-plantae
M. soleus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis;Sprunggelenk & Fuß;Dorsale Tibia, Fibula und Arcus tendineus;Tuber calcanei (über Achillessehne);"Plantarflektiert den Fuß unabhängig von der Kniestellung; supiniert; als stärkster Plantarflexor ist er beim Gehen, Laufen und Treppensteigen essentiell";Fuß: Plantarflexion · Supination;N. tibialis;;"Bedeutsam als tiefe Beinvene verlaufende Muskelpumpe bei der Thromboseprophylaxe; Achillessehnenruptur und posteriores Kompartmentsyndrom betreffen auch den Soleus";nein;Oberflächliche Wadenmuskulatur;1;1;ja;M. soleus;soleus
M. tibialis anterior;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris;Sprunggelenk & Fuß;"Tibia, Condylus und Facies lateralis (proximal); Membrana interossea";Os cuneiforme I und Os metatarsale I (Basis);"Hebt den Fuß (Dorsalextension) und supiniert; stützt das mediale Längsgewölbe; bei der Gangabwicklung verhindert er das Fußaufklappen";"Fuß: Dorsalextension · Supination; Unterstützung des Fußgewölbes";N. peroneus profundus;;"Bei N.-peroneus-profundus-Parese entsteht eine Fußheberschwäche (Fallfuß); bei Kompartmentsyndrom des vorderen Loge ist dieser Muskel besonders betroffen";nein;;1;2;ja;M. tibialis anterior;tibialis-anterior
M. tibialis posterior;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris;Sprunggelenk & Fuß;Facies posterior tibiae et fibulae und Membrana interossea;"Os naviculare (Tuberositas), Ossa cuneiformia (plantare Seite); Os cuboideum und Os metatarsale II–IV (Basis)";"Plantarflektiert und supiniert den Fuß; wichtigster statischer und dynamischer Stabilisator des medialen Längsgewölbes";Fuß: Plantarflexion · Supination;N. tibialis;;"Insuffizienz führt zum Kollaps des medialen Gewölbes und progressivem Plattfuß; Tarsaltunnelsyndrom kann den N. tibialis hinter dem Innenknöchel einklemmen";nein;;2;2;ja;M. tibialis posterior;tibialis-posterior
Mm. interossei dorsales;;Untere Extremität;Fuß & Sprunggelenk;MTP Zehen II–IV;Sprunggelenk & Fuß;Ossa metatarsi I–V (die einander zugewandten Seiten);Zehen II–IV, Basis der proximalen Phalangen (lateral und medial);"Abduzieren die Zehen II–IV vom zweiten Strahl weg; beugen die MTP-Gelenke; Zehe II kann durch den ersten dorsalen Interosseus auch medialwärts abduziert werden";"Zeh II–IV: Flexion und laterale Abduktion im MTP-Gelenk; Zeh II: mediale Abduktion";N. tibialis (N. plantaris lateralis);;"Beim Spreizfuß sind die dorsalen Interossei durch den Druck in der Fußquere gestört; bei Krallenzehen überwiegen die extrinsischen Muskeln gegenüber den schwachen Interossei";nein;;3;1;ja;Mm. interossei dorsales;interossei-dorsales
Mm. interossei plantares;;Untere Extremität;Fuß & Sprunggelenk;MTP Zehen III–V;Sprunggelenk & Fuß;Ossa metatarsi III–V;Zehen III–V, Basis der proximalen Phalangen;"Adduzieren die Zehen III–V zur zweiten Zehenachse hin; beugen die MTP-Gelenke";Zeh III–V: Flexion und Adduktion der MTP-Gelenke (zum II. Strahl hin);N. tibialis (N. plantaris lateralis);;"Bei Spreizfuß und Krallenzehen durch Schwäche der intrinsischen Fußmuskeln; enger Schuhwerk begünstigt die Ausprägung";nein;;3;1;ja;Mm. interossei plantares;interossei-plantares
Mm. lumbricales;;Untere Extremität;Fuß & Sprunggelenk;MTP Zehen II–V;Sprunggelenk & Fuß;Sehnen des M. flexor digitorum longus;Zehen II–V, Basen der proximalen Phalangen (medial);"Beugen die MTP-Gelenke II–V; die Mm. lumbricales III–V adduzieren ihre Zehen zur zweiten Achse hin; Zehe II kann abgespreizt werden";"Zeh II–V: Flexion der MTP-Gelenke; Zeh III–V: Adduktion; Zeh II: Abduktion";N. tibialis (N. plantaris medialis und lateralis);;"Beim Spreizfuß und bei Krallenzehen geschwächt; Ausfälle der Lumbrikalfunktion begünstigen Hyperextension in MTP und Flexion in IP (Krallenzehe)";nein;;3;1;ja;Mm. lumbricales;lumbricales
M. adductor brevis;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os pubis, Ramus inferior;Linea pectinea (distal) und Linea aspera (proximal);"Führt den Oberschenkel zur Körpermitte (Adduktion); unterstützt zugleich die Hüftbeugung und eine leichte Außenrotation";Adduktion · Flexion · Außenrotation;N. obturatorius;L2, L3, L4;"Häufig zusammen mit anderen Adduktoren bei Zerrungen beteiligt; relativ kurzer Hebelarm und schmale Muskelmasse";nein;Adduktorengruppe der Hüfte;2;1;ja;M. adductor brevis;adductor-brevis
M. adductor longus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os pubis, Ramus superior und inferior;Linea aspera des Femur (Mitte);"Führt den Oberschenkel zur Körpermitte (Adduktion); unterstützt zugleich die Hüftbeugung und eine leichte Außenrotation";Flexion · Adduktion · Außenrotation;N. obturatorius;L2, L3, L4;"Häufig zusammen mit anderen Adduktoren bei Zerrungen beteiligt; relativ kurzer Hebelarm und schmale Muskelmasse";nein;Adduktorengruppe der Hüfte;1;1;ja;M. adductor longus;adductor-longus
M. adductor magnus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;"Pars superior: Os pubis, Ramus inferior und Ramus ossis ischii; Pars media: Ramus ossis ischii; Pars inferior: Tuber ischiadicum";"Linea aspera (proximal); Linea aspera (distal); Tuberculum adductorium";"Kräftiger Adduktor des Hüftgelenks; streckt die Hüfte (insbesondere der ischiokrurale Anteil); der pubische Anteil rotiert nach außen, der ischiokrurale Anteil nach innen";Adduktion · Extension · Außenrotation · Innenrotation;N. obturatorius, N. tibialis;L2, L3, L4, L5, S1;"Der Hiatus adductorius in diesem Muskel ist klinisch bedeutsam, da A. und V. femoralis hindurchtreten; Adduktorenzerrungen betreffen häufig die ischiale Ursprungspartie";nein;Adduktorengruppe der Hüfte;2;1;ja;M. adductor magnus;adductor-magnus
M. gemellus inferior;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Tuber ischiadicum;Fossa trochanterica des Femur;Unterstützt die Außenrotation im Hüftgelenk;Außenrotation;Plexus sacralis;L5, S1;"Tiefe Außenrotatorengruppe; bei Reizung oder Verspannung kann Druckdolenz am Tuber ischiadicum auf diesen Muskel hindeuten";nein;;3;2;ja;M. gemellus inferior;gemellus-inferior
M. gemellus superior;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Spina ischiadica;Fossa trochanterica des Femur;Unterstützt die Außenrotation im Hüftgelenk;Außenrotation;Plexus sacralis;L5, S1;"Ebenfalls Teil der tiefen Außenrotatorengruppe; klinisch kaum isoliert testbar, wird funktionell immer mit dem M. obturatorius internus bewertet";nein;;3;2;ja;M. gemellus superior;gemellus-superior
M. gluteus maximus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;"Tiefer Teil: Ala ossis ilii (Facies glutealis), Lig. sacrotuberale; Oberflächlicher Teil: Fascia thoracolumbalis, Crista iliaca, SIPS, dorsale Fläche des Sacrums, Os coccygis";"Tractus iliotibialis; Tuberositas glutealis femoris";"Hauptextensor des Hüftgelenks; dreht den Oberschenkel nach außen; die lateralen Anteile wirken zusätzlich als Abduktoren und spannen den Tractus iliotibialis";Extension · Außenrotation · Abduktion;N. gluteus inferior;L5, S1, S2;"Insuffizienz führt zu positivem Trendelenburg-Zeichen; spielt eine wichtige Rolle beim Treppensteigen, Aufstehen und beim Hingleiten ins Hohlkreuz";nein;;1;2;ja;M. gluteus maximus;gluteus-maximus
M. gluteus medius;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Ala ossis ilii, Facies glutealis;Trochanter major (lateral);"Führt das Bein seitwärts (Abduktion); vordere Fasern rotieren nach innen und beugen, hintere Fasern rotieren nach außen und strecken; essentiell für die Beckenstabilisierung im Einbeinstand";Abduktion · Flexion · Innenrotation · Extension · Außenrotation;N. gluteus superior;L4, L5, S1;"Insuffizienz führt zu positivem Trendelenburg-Zeichen mit Absinken des kontralateralen Beckens in der Standphase; häufige Ursache von Gangstörungen";nein;;1;3;ja;M. gluteus medius;gluteus-medius
M. gluteus minimus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Ala ossis ilii, Facies glutealis;Spitze des Trochanter major;"Abduziert die Hüfte und unterstützt die Innenrotation (ventrale Fasern) bzw. Außenrotation (dorsale Fasern); Funktion nahezu identisch mit Gluteus medius";Abduktion · Flexion · Innenrotation · Extension · Außenrotation;N. gluteus superior;L4, L5, S1;"Funktionell eng mit dem Gluteus medius verwandt; bei Insuffizienz ebenfalls Trendelenburg-Zeichen möglich; wird selten isoliert getestet";nein;;2;3;ja;M. gluteus minimus;gluteus-minimus
M. gracilis;;Untere Extremität;Hüfte;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Os pubis, Ramus inferior;Tibia, Facies medialis (Pes anserinus);"Adduziert das Bein im Hüftgelenk; im Kniegelenk wirkt er als Beuger und Innenrotator des Unterschenkels";Hüftadduktion · Knieflexion · Knie-Innenrotation;N. obturatorius;L2, L3;Pes-anserinus-Syndrom, Sehnentransplantat (Kreuzbandplastik);nein;Adduktorengruppe der Hüfte;2;1;ja;M. gracilis;gracilis
M. iliacus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Fossa iliaca des Ileums und Spina iliaca anterior inferior;Trochanter minor des Femur;"Flektiert das Hüftgelenk und rotiert den Oberschenkel nach außen; bei feststehendem Bein kippt er das Ilium nach ventral";Flexion · Adduktion · Außenrotation;Plexus lumbalis;L2, L3;"Bei prolongiertem Sitzen häufig verkürzt, was zu einer Hüftbeugekontraktur und Beckenkippung nach vorne führen kann; relevant bei Hüftgelenkserkrankungen";nein;;1;2;ja;M. iliacus;iliacus
M. obturatorius externus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os coxae und Membrana obturatoria (Außenseite);Fossa trochanterica des Femur;Dreht den Oberschenkel im Hüftgelenk nach außen;Außenrotation;N. obturatorius;L3, L4;"Ebenfalls Teil der tiefen Außenrotatorengruppe; klinisch kaum isoliert testbar, wird funktionell immer mit dem M. obturatorius internus bewertet";nein;;3;2;ja;M. obturatorius externus;obturatorius-externus
M. obturatorius internus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os coxae und Membrana obturatoria (Innenseite);Fossa trochanterica des Femur;Dreht den Oberschenkel im Hüftgelenk nach außen;Außenrotation;Plexus sacralis;L5, S1;"Teil der tiefen Außenrotatorengruppe; klinisch häufig zusammen mit Piriformis und den Gemelli beurteilt; gut zu testen im Seitenvergleich der Außenrotationskraft";nein;;3;1;ja;M. obturatorius internus;obturatorius-internus
M. pectineus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Pecten ossis pubis;Linea pectinea des Femur;"Adduziert den Oberschenkel und beugt ihn leicht im Hüftgelenk; eine geringe Außenrotation ist ebenfalls möglich";Adduktion · Flexion · Außenrotation;N. femoralis, N. obturatorius;L2, L3;"Adduktorenzerrungen betreffen besonders diesen Muskel, da er mechanisch stark belastet wird; als Ursprungstendinopathie am Schambein auch als Sportlerleiste bekannt";nein;Adduktorengruppe der Hüfte;2;1;ja;M. pectineus;pectineus
M. piriformis;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os sacrum, Facies pelvica;Trochanter major des Femur;"Außenrotiert den Oberschenkel im Hüftgelenk; wirkt bei 90° Hüftbeugung zusätzlich als Abduktor";Außenrotation · Abduktion;Plexus sacralis;S1, S2;"Gehört zur Gruppe der tiefen Außenrotatoren; bei Verletzungen oder Reizzuständen können Beschwerden die ischiadikusähnliche Symptomatik imitieren";nein;;2;2;ja;M. piriformis;piriformis
M. psoas major;;Untere Extremität;Hüfte;Art. coxae · LWS;Wirbelsäule · Hüftgelenk;"Wirbelkörper (BWK 12 / LWK 1–4) und Disci intervertebrales; Procc. costales LWK 1–5 (tiefer Anteil)";Trochanter minor des Femur;"Beugt die Hüfte und adduziert den Oberschenkel; bei fixiertem Femur verstärkt er die Lendenlordose; wirkt zudem als Außenrotator im Hüftgelenk";Flexion · Adduktion · Außenrotation;Plexus lumbalis;L1, L2, L3;"Verkürzungen entstehen häufig durch langes Sitzen; klinisch relevant bei LWS-Beschwerden, Hyperlordose und dem sog. Psoassyndrom mit Leisten- und Rückenschmerzen";nein;;1;3;ja;M. psoas major;psoas-major
M. psoas minor;;Untere Extremität;Hüfte;Becken;Hüftgelenk;Wirbelkörper Th12/L1;Eminentia iliopubica;Kippt das Becken nach dorsal (Retroversion) und unterstützt die Stabilisierung der Lendenwirbelsäule in Streckstellung;Beckenkippung rückwärts;Plexus lumbalis;L1;Dieser Muskel fehlt bei etwa 10 % der Menschen und ist dann funktionell durch den Psoas major kompensiert – klinisch meist bedeutungslos, kann jedoch bei bildgebenden Verfahren als Zufallsbefund auffallen;nein;;3;0;ja;M. psoas minor;psoas-minor
M. quadratus femoris;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Tuber ischiadicum (lateral);Crista intertrochanterica des Femur;"Dreht den Oberschenkel nach außen und zieht ihn leicht zur Körpermitte (Adduktion); liegt zwischen Tuber ischiadicum und Crista intertrochanterica";Außenrotation · Adduktion;Plexus sacralis;L4, L5, S1;"Tiefe Außenrotatorengruppe; bei Reizung oder Verspannung kann Druckdolenz am Tuber ischiadicum auf diesen Muskel hindeuten";nein;;3;1;ja;M. quadratus femoris;quadratus-femoris
M. sartorius;;Untere Extremität;Hüfte;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Spina iliaca anterior superior;Tibia, Facies medialis (Pes anserinus);"Beugt und dreht die Hüfte nach außen; abduziert; im Kniegelenk bewirkt er Beugung und Innenrotation des Unterschenkels – typische Schneidersitzposition";Hüftflexion · Außenrotation · Abduktion · Knieflexion · Knie-Innenrotation;N. femoralis;L2, L3;Pes-anserinus-Syndrom;nein;;1;1;ja;M. sartorius;sartorius
M. tensor fasciae latae;;Untere Extremität;Hüfte;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Spina iliaca anterior superior;Tractus iliotibialis, Tuberculum von Gerdy an der Tibia;"Abduziert und beugt die Hüfte, dreht den Oberschenkel nach innen; spannt den Tractus iliotibialis und entlastet damit Femurschaft und -hals";Abduktion · Flexion · Innenrotation;N. gluteus superior;L4, L5, S1;"Pes-anserinus-Syndrom (Insertion am medialen Tibiakopf); die Sehne wird zudem als autologes Transplantat bei Kreuzbandrekonstruktionen verwendet";nein;;1;2;ja;M. tensor fasciae latae;tensor-fasciae-latae
