Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id);Liegt auch in
M. flexor hallucis brevis;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh I;Sprunggelenk & Fuß;Ossa cuneiformia II et III und Os cuboideum;"Mediale und laterale Basis der proximalen Phalanx des I. Zehs; Mediales und laterales Sesambein";"Beugt die Großzehe im MTP-Gelenk; unterstützt Abduktion und Adduktion; hält die Sesambeine in ihrer Gleitrinne unter dem ersten Metatarsalkopf";Zeh I: Flexion · Abduktion und Adduktion des MTP-Gelenks;N. tibialis (N. plantaris medialis und lateralis);;"Bei Hallux valgus entgleist das Sesambein aus seiner Führungsrinne; Sesambeinf rakturen entstehen durch direkte Belastung oder Ermüdung";nein;;2;1;ja;M. flexor hallucis brevis;flexor-hallucis-brevis;
M. flexor hallucis longus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris · MTP und IP Zeh I;Sprunggelenk & Fuß;Facies posterior fibulae (distal);Zeh I, plantare distale Phalanx (Basis);"Plantarflektiert den Fuß und supiniert; beugt die Großzehe in MTP- und IP-Gelenk; wichtig beim Abstoßen in der Gangabwicklung";"Fuß: Plantarflexion · Supination; Zeh I: Flexion des MTP- und IP-Gelenks";N. tibialis;;"Hallux-flexus-Deformität durch Verkürzung; Tarsaltunnelsyndrom kann FHL-Sehne betreffen; bei Ballett-Tänzerinnen typische Überlastungstendinitis hinter dem Innenknöchel";nein;;2;2;ja;M. flexor hallucis longus;flexor-hallucis-longus;
M. gastrocnemius;;Untere Extremität;Fuß & Sprunggelenk;Art. genus · Art. talocruralis;Kniegelenk · Sprunggelenk & Fuß;"Caput mediale: Femur, Facies poplitea, Condylus medialis; Caput laterale: Femur, Facies poplitea, Condylus lateralis";Tuber calcanei (über Achillessehne);"Beugt das Knie und plantarflektiert den Fuß; unterstützt die Supination; sorgt als zweigelenkiger Muskel für die Kraftentfaltung beim Zehenstand und Abstoßen";"Knie: Flexion; Fuß: Plantarflexion · Supination";N. tibialis;;"Wadenkrämpfe entstehen häufig durch Erschöpfung oder Elektrolytmangel; Achillessehnenrupturen treffen oft den Übergang zwischen Muskel und Sehne; als Suralispumpe fördert er venoses Blut herzwärts";nein;Oberflächliche Wadenmuskulatur;1;2;ja;M. gastrocnemius;gastrocnemius;Kniegelenk
M. opponens digiti minimi;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh V;Sprunggelenk & Fuß;"Lig. plantare longum; Basis des Os metatarsale V; Sehnenscheide des M. fibularis longus";Lateraler Rand des Os metatarsale V;Unterstützt Flexion und Abduktion der Kleinzehe und stabilisiert das laterale Längsgewölbe des Fußes;Zeh V: Flexion und Abduktion des MTP-Gelenks;N. tibialis (N. plantaris lateralis);S2, S3;"Wird in manchen Darstellungen nicht als eigener Muskel geführt; funktionell unterstützt er die Stabilität des äußeren Fußrandes";nein;;3;1;ja;M. opponens digiti minimi;opponens-digiti-minimi-lower-fuss-zeh-v-flexion-und-abduktion-des-mtp-gelenks;
M. plantaris;;Untere Extremität;Fuß & Sprunggelenk;Art. genus · Art. talocruralis;Kniegelenk · Sprunggelenk & Fuß;Femur, Facies poplitea;Tuber calcanei;"Schwächer Plantarflexor und Kniebeuger; bei fehlendem Muskel übernehmen Gastrocnemius und Soleus vollständig seine Funktion";"Knie: Flexion; Fuß: Plantarflexion · Supination";N. tibialis;;"Der Muskel fehlt bei vielen Menschen ganz; meist bleibt das ohne Beschwerden, die Sehne wird aber teils als Transplantat genutzt";nein;Oberflächliche Wadenmuskulatur;3;1;ja;M. plantaris;plantaris;Kniegelenk
M. quadratus plantae;;Untere Extremität;Fuß & Sprunggelenk;;Sprunggelenk & Fuß;Tuber calcanei (plantare Seite);M. flexor digitorum longus (Endsehne);Richtet die Zugrichtung des langen Zehenbeugers aus und unterstützt das Beugen der Kleinzehen;Zeh II–V: Flexion der MTP- und IP-Gelenke (unterstützt M. flexor digitorum longus);N. tibialis (N. plantaris lateralis);;"Verbessert die Kraftübertragung auf die Kleinzehen; Schwäche macht die plantare Zehenbeugung weniger sauber";nein;;3;1;ja;M. quadratus plantae;quadratus-plantae;
M. soleus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis;Sprunggelenk & Fuß;Dorsale Tibia, Fibula und Arcus tendineus;Tuber calcanei (über Achillessehne);"Plantarflektiert den Fuß unabhängig von der Kniestellung; supiniert; als stärkster Plantarflexor ist er beim Gehen, Laufen und Treppensteigen essentiell";Fuß: Plantarflexion · Supination;N. tibialis;;"Bedeutsam als tiefe Beinvene verlaufende Muskelpumpe bei der Thromboseprophylaxe; Achillessehnenruptur und posteriores Kompartmentsyndrom betreffen auch den Soleus";nein;Oberflächliche Wadenmuskulatur;1;1;ja;M. soleus;soleus;
M. tibialis anterior;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris;Sprunggelenk & Fuß;"Tibia, Condylus und Facies lateralis (proximal); Membrana interossea";Os cuneiforme I und Os metatarsale I (Basis);"Hebt den Fuß (Dorsalextension) und supiniert; stützt das mediale Längsgewölbe; bei der Gangabwicklung verhindert er das Fußaufklappen";"Fuß: Dorsalextension · Supination; Unterstützung des Fußgewölbes";N. peroneus profundus;;"Bei N.-peroneus-profundus-Parese entsteht eine Fußheberschwäche (Fallfuß); bei Kompartmentsyndrom des vorderen Loge ist dieser Muskel besonders betroffen";nein;;1;2;ja;M. tibialis anterior;tibialis-anterior;
M. tibialis posterior;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris;Sprunggelenk & Fuß;Facies posterior tibiae et fibulae und Membrana interossea;"Os naviculare (Tuberositas), Ossa cuneiformia (plantare Seite); Os cuboideum und Os metatarsale II–IV (Basis)";"Plantarflektiert und supiniert den Fuß; wichtigster statischer und dynamischer Stabilisator des medialen Längsgewölbes";Fuß: Plantarflexion · Supination;N. tibialis;;"Insuffizienz führt zum Kollaps des medialen Gewölbes und progressivem Plattfuß; Tarsaltunnelsyndrom kann den N. tibialis hinter dem Innenknöchel einklemmen";nein;;2;2;ja;M. tibialis posterior;tibialis-posterior;
Mm. interossei dorsales;;Untere Extremität;Fuß & Sprunggelenk;MTP Zehen II–IV;Sprunggelenk & Fuß;Ossa metatarsi I–V (die einander zugewandten Seiten);Zehen II–IV, Basis der proximalen Phalangen (lateral und medial);"Abduzieren die Zehen II–IV vom zweiten Strahl weg; beugen die MTP-Gelenke; Zehe II kann durch den ersten dorsalen Interosseus auch medialwärts abduziert werden";"Zeh II–IV: Flexion und laterale Abduktion im MTP-Gelenk; Zeh II: mediale Abduktion";N. tibialis (N. plantaris lateralis);;"Beim Spreizfuß sind die dorsalen Interossei durch den Druck in der Fußquere gestört; bei Krallenzehen überwiegen die extrinsischen Muskeln gegenüber den schwachen Interossei";nein;;3;1;ja;Mm. interossei dorsales;interossei-dorsales;
Mm. interossei plantares;;Untere Extremität;Fuß & Sprunggelenk;MTP Zehen III–V;Sprunggelenk & Fuß;Ossa metatarsi III–V;Zehen III–V, Basis der proximalen Phalangen;"Adduzieren die Zehen III–V zur zweiten Zehenachse hin; beugen die MTP-Gelenke";Zeh III–V: Flexion und Adduktion der MTP-Gelenke (zum II. Strahl hin);N. tibialis (N. plantaris lateralis);;"Bei Spreizfuß und Krallenzehen durch Schwäche der intrinsischen Fußmuskeln; enger Schuhwerk begünstigt die Ausprägung";nein;;3;1;ja;Mm. interossei plantares;interossei-plantares;
Mm. lumbricales;;Untere Extremität;Fuß & Sprunggelenk;MTP Zehen II–V;Sprunggelenk & Fuß;Sehnen des M. flexor digitorum longus;Zehen II–V, Basen der proximalen Phalangen (medial);"Beugen die MTP-Gelenke II–V; die Mm. lumbricales III–V adduzieren ihre Zehen zur zweiten Achse hin; Zehe II kann abgespreizt werden";"Zeh II–V: Flexion der MTP-Gelenke; Zeh III–V: Adduktion; Zeh II: Abduktion";N. tibialis (N. plantaris medialis und lateralis);;"Beim Spreizfuß und bei Krallenzehen geschwächt; Ausfälle der Lumbrikalfunktion begünstigen Hyperextension in MTP und Flexion in IP (Krallenzehe)";nein;;3;1;ja;Mm. lumbricales;lumbricales;
