Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id);Liegt auch in
M. extensor pollicis longus;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk · MCP · IP;Hand;Facies posterior ulnae und Membrana interossea;Basis der Endphalanx des Daumens;"Streckt den Daumen bis ins Endgelenk; unterstützt die Dorsalextension im Handgelenk";Dorsalextension · CMC-Extension · MCP-Extension · IP-Extension;N. radialis;C6, C7, C8;Ruptur nach distaler Radiusfraktur;nein;;2;1;ja;M. extensor pollicis longus;extensor-pollicis-longus;
M. flexor carpi radialis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus medialis humeri;Basis Os metacarpale II (manchmal auch III);Palmarflexion und Radialabduktion im Handgelenk;Palmarflexion · Radialabduktion · Pronation;N. medianus;C6, C7, C8;Karpaltunnelsyndrom, Epicondylitis medialis;nein;;1;2;ja;M. flexor carpi radialis;flexor-carpi-radialis;Ellenbogen
M. flexor carpi ulnaris;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus medialis humeri, medialer Olekranon und Margo posterior ulnae;Os pisiforme, Hamulus ossis hamati, Basis Os metacarpale V;Palmarflexion und Ulnarabduktion im Handgelenk;Palmarflexion · Ulnarabduktion;N. ulnaris;C7, C8, Th1;Ulnarisrinnensyndrom;nein;;1;1;ja;M. flexor carpi ulnaris;flexor-carpi-ulnaris;Ellenbogen
M. flexor digiti minimi brevis;;Obere Extremität;Hand & Finger;MCP;Hand;Hamulus ossis hamati und Retinaculum flexorum;Basis der Grundphalanx des V. Fingers, ulnares Sesambein;Flexion im MCP-Gelenk des kleinen Fingers;MCP-Flexion · Abduktion;N. ulnaris;C8, Th1;Ulnarisparese;nein;;2;1;ja;M. flexor digiti minimi brevis#manus;flexor-digiti-minimi-brevis-upper-hand-mcp-flexion;
M. flexor digitorum profundus;;Obere Extremität;Hand & Finger;Art. manus · MCP · PIP · DIP;Hand;Facies anterior und medialis ulnae und Membrana interossea;Basis der distalen Fingerphalangen II–V;"Palmarflexion im Handgelenk; Flexion der Finger II-V bis in die Endgelenke";Palmarflexion · MCP-Flexion · PIP-Flexion · DIP-Flexion;N. medianus (II, III), N. ulnaris (IV, V);C7, C8, Th1;DIP-Flexion nur durch FDP möglich, Jerseyfingerruptur;nein;;2;1;ja;M. flexor digitorum profundus;flexor-digitorum-profundus;
M. flexor digitorum superficialis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus · MCP · PIP;Ellenbogen · Hand;Epicondylus medialis humeri, Facies medialis ulnae, proximaler Margo anterior radii;Mittelphalangen des II.–V. Fingers;"Palmarflexion im Handgelenk; Flexion in MCP- und PIP-Gelenken der Finger II-V";Palmarflexion · MCP-Flexion · PIP-Flexion;N. medianus;C7, C8, Th1;Karpaltunnelsyndrom, Schnappfinger;nein;;2;1;ja;M. flexor digitorum superficialis;flexor-digitorum-superficialis;Ellenbogen
M. flexor pollicis brevis;;Obere Extremität;Hand & Finger;Daumensattelgelenk · MCP;Hand;"Caput superficiale: Tuberculum ossis trapezii und Retinaculum flexorum; Caput profundum: Os trapezoideum, Os capitatum, Ligg. metacarpalia palmaria";Basis der Daumengrundphalanx, radiales Sesambein;Beugt den Daumen und hilft bei Gegenüberstellung und Heranführung;CMC-Flexion · Adduktion · Opposition · MCP-Flexion;N. medianus, N. ulnaris;C8, Th1;Medianusparese (Caput superficiale), Ulnarisparese (Caput profundum);nein;Daumenballen (Thenar);2;2;ja;M. flexor pollicis brevis;flexor-pollicis-brevis;
M. flexor pollicis longus;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk · MCP · IP;Hand;Epicondylus medialis humeri, ventrale Seite des Radius und Membrana interossea;Basis der Endphalanx des Daumens;"Beugt den Daumen; unterstützt die Palmarflexion im Handgelenk";Palmarflexion · Daumenflexion;N. medianus;C6, C7, C8;Karpaltunnelsyndrom;nein;;2;1;ja;M. flexor pollicis longus;flexor-pollicis-longus;
M. opponens digiti minimi;;Obere Extremität;Hand & Finger;CMC;Hand;Hamulus ossis hamati und Retinaculum flexorum;Os metacarpale V;Opposition des kleinen Fingers im CMC-Gelenk;CMC-Opposition;N. ulnaris;C8, Th1;Ulnarisparese;nein;;2;1;ja;M. opponens digiti minimi#manus;opponens-digiti-minimi-upper-hand-cmc-opposition;
M. opponens pollicis;;Obere Extremität;Hand & Finger;Daumensattelgelenk;Hand;Os trapezium und Retinaculum flexorum;Os metacarpale I;Opposition des Daumens im Sattelgelenk;CMC-Adduktion · Opposition;N. medianus;C6, C7;Medianusparese – Verlust der Daumenopposition;nein;Daumenballen (Thenar);2;1;ja;M. opponens pollicis;opponens-pollicis;
M. palmaris brevis;;Obere Extremität;Hand & Finger;;Hand;Aponeurosis palmaris;Haut der ulnaren Handseite;Spannt die Haut am Kleinfingerballen;Spannt die Haut des Kleinfingerballens;N. ulnaris;C8, Th1;Ulnarisparese;nein;;3;1;ja;M. palmaris brevis;palmaris-brevis;
M. palmaris longus;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus medialis humeri;Aponeurosis palmaris;"Palmarflexion im Handgelenk; spannt die Palmaraponeurose";Palmarflexion;N. medianus;C8, Th1;Fehlt bei ca. 14% der Menschen, Sehnentransplantat-Spender;nein;;2;1;ja;M. palmaris longus;palmaris-longus;Ellenbogen
Mm. interossei dorsales I–IV;;Obere Extremität;Hand & Finger;MCP · PIP · DIP;Hand;Einander zugekehrte Seiten der Ossa metacarpi I–V;Dorsalaponeurosen der Finger II–IV;"Abduktion der Finger vom Mittelfinger weg; zusätzlich MCP-Flexion und IP-Extension";MCP-Flexion · IP-Extension · Abduktion;N. ulnaris;C8, Th1;Ulnarisparese – Atrophie der Interossei;nein;;3;1;ja;Mm. interossei dorsales I–IV;interossei-dorsales-i-iv;
Mm. interossei palmares I–III;;Obere Extremität;Hand & Finger;MCP · PIP · DIP;Hand;Ulnare Seite des Os metacarpale II, radiale Seite der Ossa metacarpi IV und V;Dorsalaponeurosen der Finger II, IV und V;"Adduktion der Finger zum Mittelfinger; zusätzlich MCP-Flexion und IP-Extension";MCP-Flexion · IP-Extension · Adduktion;N. ulnaris;C8, Th1;Ulnarisparese – Krallenhand;nein;;3;1;ja;Mm. interossei palmares I–III;interossei-palmares-i-iii;
Mm. lumbricales I–IV;;Obere Extremität;Hand & Finger;MCP · PIP · DIP;Hand;Sehnen des M. flexor digitorum profundus;Dorsalaponeurosen der Finger II–V;MCP-Flexion, IP-Extension und leichte Radialabduktion der Finger II-V;MCP-Flexion · IP-Extension · Radialabduktion;N. medianus (I, II), N. ulnaris (III, IV);C8, Th1;Lumbrikale-Plus-Phänomen;nein;;3;1;ja;Mm. lumbricales I–IV;lumbricales-i-iv;
