Muskel;Region;Subregion;Feld;Urteil;Bei mir;Wikipedia;Delta;Artikel
M. adductor brevis;Untere Extremität;Hüfte;Ansatz;abweichend;Linea pectinea (distal) und Linea aspera (proximal);Oberschenkelknochen (prox. Teil des Labium med. der Linea aspera);;https://de.wikipedia.org/wiki/Musculus_adductor_brevis
M. adductor brevis;Untere Extremität;Hüfte;Funktion;Freitext — nur lesen;"Führt den Oberschenkel zur Körpermitte (Adduktion); unterstützt zugleich die Hüftbeugung und eine leichte Außenrotation";Adduktion des Oberschenkels;;https://de.wikipedia.org/wiki/Musculus_adductor_brevis
M. adductor brevis;Untere Extremität;Hüfte;Innervation;gleich;N. obturatorius;Nervus obturatorius;;https://de.wikipedia.org/wiki/Musculus_adductor_brevis
M. adductor brevis;Untere Extremität;Hüfte;Segmente;abweichend;L2, L3, L4;L3, L4;nur bei mir: L2;https://de.wikipedia.org/wiki/Musculus_adductor_brevis
M. adductor hallucis;Untere Extremität;Fuß & Sprunggelenk;Ursprung;teils gleich;"Caput obliquum: Os metatarsale II–V (Basis); Os cuboideum, Os cuneiforme III und Lig. plantare longum; Caput transversum: Kapsel der Art. MTP II–V und Lig. metatarseum transversum profundum";Caput obliquum: v. a. Würfelbein · Caput transversum: Kapsel des 3. bis 5. Zehengrundgelenkes;;https://de.wikipedia.org/wiki/Musculus_adductor_hallucis
M. adductor hallucis;Untere Extremität;Fuß & Sprunggelenk;Ansatz;teils gleich;Basis der proximalen Phalanx des I. Zehs und laterales Sesambein;Proximale Phalanx der großen Zehe;;https://de.wikipedia.org/wiki/Musculus_adductor_hallucis
M. adductor hallucis;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Adduziert die Großzehe zum zweiten Strahl; beugt das MTP-Gelenk; verspannt das Quergewölbe (Caput transversum)";v. a. Einwärtsziehen der großen Zehe;;https://de.wikipedia.org/wiki/Musculus_adductor_hallucis
M. adductor hallucis;Untere Extremität;Fuß & Sprunggelenk;Innervation;gleich (andere Worte);N. tibialis (N. plantaris lateralis);Nervus plantaris lateralis;;https://de.wikipedia.org/wiki/Musculus_adductor_hallucis
M. adductor hallucis;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;S1-S3;;https://de.wikipedia.org/wiki/Musculus_adductor_hallucis
M. adductor longus;Untere Extremität;Hüfte;Ursprung;teils gleich;Os pubis, Ramus superior und inferior;Schambein (Ramus superior);;https://de.wikipedia.org/wiki/Musculus_adductor_longus
M. adductor longus;Untere Extremität;Hüfte;Ansatz;teils gleich;Linea aspera des Femur (Mitte);Oberschenkelknochen (Labium med. der Linea aspera);;https://de.wikipedia.org/wiki/Musculus_adductor_longus
M. adductor longus;Untere Extremität;Hüfte;Funktion;Freitext — nur lesen;"Führt den Oberschenkel zur Körpermitte (Adduktion); unterstützt zugleich die Hüftbeugung und eine leichte Außenrotation";Beugung des Hüftgelenks und Heranziehen des Oberschenkels;;https://de.wikipedia.org/wiki/Musculus_adductor_longus
M. adductor longus;Untere Extremität;Hüfte;Innervation;gleich;N. obturatorius;Nervus obturatorius;;https://de.wikipedia.org/wiki/Musculus_adductor_longus
M. adductor longus;Untere Extremität;Hüfte;Segmente;abweichend;L2, L3, L4;L3, L4;nur bei mir: L2;https://de.wikipedia.org/wiki/Musculus_adductor_longus
M. adductor magnus;Untere Extremität;Hüfte;Ursprung;teils gleich;"Pars superior: Os pubis, Ramus inferior und Ramus ossis ischii; Pars media: Ramus ossis ischii; Pars inferior: Tuber ischiadicum";Schambein (Ramus inferior ossis pubis) und Sitzbein (Ramus ossis ischii, Tuber ischiadicum);;https://de.wikipedia.org/wiki/Musculus_adductor_magnus
M. adductor magnus;Untere Extremität;Hüfte;Ansatz;teils gleich;"Linea aspera (proximal); Linea aspera (distal); Tuberculum adductorium";Oberschenkelknochen (Labium med. der Linea aspera, Epicondylus medialis (Tuberculum adductorium) );;https://de.wikipedia.org/wiki/Musculus_adductor_magnus
M. adductor magnus;Untere Extremität;Hüfte;Funktion;Freitext — nur lesen;"Kräftiger Adduktor des Hüftgelenks; streckt die Hüfte (insbesondere der ischiokrurale Anteil); der pubische Anteil rotiert nach außen, der ischiokrurale Anteil nach innen";Adduktion des Oberschenkels;;https://de.wikipedia.org/wiki/Musculus_adductor_magnus
M. adductor magnus;Untere Extremität;Hüfte;Innervation;gleich;N. obturatorius, N. tibialis;Nervus obturatorius, Nervus tibialis;;https://de.wikipedia.org/wiki/Musculus_adductor_magnus
M. adductor magnus;Untere Extremität;Hüfte;Segmente;abweichend;L2, L3, L4, L5, S1;L3, L4;nur bei mir: L2, L5, S1;https://de.wikipedia.org/wiki/Musculus_adductor_magnus
M. adductor pollicis;Obere Extremität;Hand & Finger;Ursprung;gleich (andere Worte);"Caput obliquum: Os trapezoideum, Os capitatum, Basis Os metacarpale II, Ligg. metacarpalia palmaria; Caput transversum: Palmare Seite des Os metacarpale III";Caput obliquum: Os capitatum und Os metacarpale II und III · Caput transversum: palmar am Os metacarpale II und III;;https://de.wikipedia.org/wiki/Musculus_adductor_pollicis
M. adductor pollicis;Obere Extremität;Hand & Finger;Ansatz;teils gleich;Basis der Grundphalanx des Daumens, ulnares Sesambein;medial an der Basis des Daumens, ulnares Os sesamoideum;;https://de.wikipedia.org/wiki/Musculus_adductor_pollicis
M. adductor pollicis;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;"Adduktion des Daumens; unterstützt Reposition und Flexion im Sattelgelenk";Einwärtszieher des Daumens;;https://de.wikipedia.org/wiki/Musculus_adductor_pollicis
M. adductor pollicis;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. ulnaris;Nervus ulnaris (Ramus profundus);;https://de.wikipedia.org/wiki/Musculus_adductor_pollicis
M. adductor pollicis;Obere Extremität;Hand & Finger;Segmente;gleich;C8, Th1;C8, Th1;;https://de.wikipedia.org/wiki/Musculus_adductor_pollicis
M. anconeus;Obere Extremität;Ellenbogen;Ursprung;gleich (andere Worte);Epicondylus lateralis humeri und Lig. collaterale radiale;Humerus (Epicondylus lateralis);;https://de.wikipedia.org/wiki/Musculus_anconeus
M. anconeus;Obere Extremität;Ellenbogen;Ansatz;abweichend;Proximaler Bereich der Facies posterior ulnae;Hinterfläche der Ulna;;https://de.wikipedia.org/wiki/Musculus_anconeus
M. anconeus;Obere Extremität;Ellenbogen;Funktion;Freitext — nur lesen;Unterstützt die Ellenbogenextension und stabilisiert das Gelenk;Streckung des Ellbogengelenks sowie Anspannen dessen Gelenkskapsel;;https://de.wikipedia.org/wiki/Musculus_anconeus
M. anconeus;Obere Extremität;Ellenbogen;Innervation;teils gleich;N. radialis;Nervus radialis des Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_anconeus
M. anconeus;Obere Extremität;Ellenbogen;Segmente;abweichend;C6, C7, C8;C7, C8;nur bei mir: C6;https://de.wikipedia.org/wiki/Musculus_anconeus
M. articularis genus;Untere Extremität;Knie;Ursprung;abweichend;Corpus femoris (ventral);Femur;;https://de.wikipedia.org/wiki/Musculus_articularis_genus
M. articularis genus;Untere Extremität;Knie;Ansatz;gleich (andere Worte);Kniegelenkkapsel (Recessus suprapatellaris);Recessus suprapatellaris;;https://de.wikipedia.org/wiki/Musculus_articularis_genus
M. articularis genus;Untere Extremität;Knie;Funktion;Freitext — nur lesen;Spannt die Kniegelenkkapsel im Recessus suprapatellaris (verhindert Einklemmen bei Kniestreckung);zieht den Recessus suprapatellaris in die Länge;;https://de.wikipedia.org/wiki/Musculus_articularis_genus
M. articularis genus;Untere Extremität;Knie;Innervation;gleich;N. femoralis;Nervus femoralis;;https://de.wikipedia.org/wiki/Musculus_articularis_genus
M. articularis genus;Untere Extremität;Knie;Segmente;nur bei mir;L3, L4;;;https://de.wikipedia.org/wiki/Musculus_articularis_genus
M. biceps brachii;Obere Extremität;Ellenbogen;Ursprung;gleich (andere Worte);"Caput longum: Tuberculum supraglenoidale scapulae und Labrum glenoidale; Caput breve: Proc. coracoideus scapulae";Caput longum: · Schulterblatt (Tuberculum supraglenoidale) · Caput breve: · Rabenschnabelfortsatz des Schulterblatts (Processus coracoideus scapulae);;https://de.wikipedia.org/wiki/Musculus_biceps_brachii
M. biceps brachii;Obere Extremität;Ellenbogen;Ansatz;teils gleich;"Tuberositas radii; Lacertus fibrosus / Fascia antebrachii";Speiche (Tuberositas radii) und über Aponeurosis m. bicipitis an der Fascia antebrachii;;https://de.wikipedia.org/wiki/Musculus_biceps_brachii
M. biceps brachii;Obere Extremität;Ellenbogen;Funktion;Freitext — nur lesen;Schulter: Flexion, teils Abduktion oder Adduktion je nach Kopf. Ellenbogen: Flexion und Supination;Schultergelenk: Anteversion, Abduktion, Fixierung/Depression des Humeruskopfes Ellbogengelenk: Flexion und Supination;;https://de.wikipedia.org/wiki/Musculus_biceps_brachii
M. biceps brachii;Obere Extremität;Ellenbogen;Innervation;teils gleich;N. musculocutaneus;Nervus musculocutaneus des Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_biceps_brachii
M. biceps brachii;Obere Extremität;Ellenbogen;Segmente;abweichend;C5, C6, C7;C5, C6;nur bei mir: C7;https://de.wikipedia.org/wiki/Musculus_biceps_brachii
M. biceps femoris – Caput breve;Untere Extremität;Knie;Ursprung;abweichend;Linea aspera des Femur (mittlerer Teil);Caput longum: Sitzbein (Tuber ischiadicum) · Caput breve: Rückseite des Oberschenkelknochens;;https://de.wikipedia.org/wiki/Musculus_biceps_femoris
M. biceps femoris – Caput breve;Untere Extremität;Knie;Ansatz;teils gleich;Caput fibulae;Wadenbein (Caput fibulae) unterhalb des Kniegelenks;;https://de.wikipedia.org/wiki/Musculus_biceps_femoris
M. biceps femoris – Caput breve;Untere Extremität;Knie;Funktion;Freitext — nur lesen;"Beugt das Knie (Flexion in der Art. genus); dreht den Unterschenkel bei gebeugtem Knie nach außen (Außenrotation)";Beugung und Außenrotation Kniegelenk, Streckung und Außenrotation Hüftgelenk;;https://de.wikipedia.org/wiki/Musculus_biceps_femoris
M. biceps femoris – Caput breve;Untere Extremität;Knie;Innervation;abweichend;N. peroneus communis;Caput longum: Nervus tibialis · Caput breve: Nervus fibularis communis;;https://de.wikipedia.org/wiki/Musculus_biceps_femoris
M. biceps femoris – Caput breve;Untere Extremität;Knie;Segmente;abweichend;L5, S1, S2;L5, S1;nur bei mir: S2;https://de.wikipedia.org/wiki/Musculus_biceps_femoris
M. biceps femoris – Caput longum;Untere Extremität;Knie;Ursprung;teils gleich;Tuber ischiadicum;Caput longum: Sitzbein (Tuber ischiadicum) · Caput breve: Rückseite des Oberschenkelknochens;;https://de.wikipedia.org/wiki/Musculus_biceps_femoris
M. biceps femoris – Caput longum;Untere Extremität;Knie;Ansatz;teils gleich;"Caput fibulae; Condylus lateralis tibiae";Wadenbein (Caput fibulae) unterhalb des Kniegelenks;;https://de.wikipedia.org/wiki/Musculus_biceps_femoris
M. biceps femoris – Caput longum;Untere Extremität;Knie;Funktion;Freitext — nur lesen;"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Außenrotation des Unterschenkels";Beugung und Außenrotation Kniegelenk, Streckung und Außenrotation Hüftgelenk;;https://de.wikipedia.org/wiki/Musculus_biceps_femoris
M. biceps femoris – Caput longum;Untere Extremität;Knie;Innervation;abweichend;N. tibialis;Caput longum: Nervus tibialis · Caput breve: Nervus fibularis communis;;https://de.wikipedia.org/wiki/Musculus_biceps_femoris
M. biceps femoris – Caput longum;Untere Extremität;Knie;Segmente;abweichend;L5, S1, S2;L5, S1;nur bei mir: S2;https://de.wikipedia.org/wiki/Musculus_biceps_femoris
M. brachialis;Obere Extremität;Ellenbogen;Ursprung;abweichend;Ventrale Seite des Humerus, distale Hälfte;Vorderfläche des Humerusschafts;;https://de.wikipedia.org/wiki/Musculus_brachialis
M. brachialis;Obere Extremität;Ellenbogen;Ansatz;teils gleich;Tuberositas ulnae, Gelenkkapsel des Ellenbogens;Vorderfläche der Elle (Tuberositas ulnae);;https://de.wikipedia.org/wiki/Musculus_brachialis
M. brachialis;Obere Extremität;Ellenbogen;Funktion;Freitext — nur lesen;Stärkster Flexor im Ellenbogengelenk;Beugung Ellbogen;;https://de.wikipedia.org/wiki/Musculus_brachialis
M. brachialis;Obere Extremität;Ellenbogen;Innervation;abweichend;N. musculocutaneus;Nervus musculocutaneus und in Anteilen Nervus radialis, beide aus dem Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_brachialis
M. brachialis;Obere Extremität;Ellenbogen;Segmente;abweichend;C5, C6, C7;C5, C6;nur bei mir: C7;https://de.wikipedia.org/wiki/Musculus_brachialis
M. brachioradialis;Obere Extremität;Ellenbogen;Ursprung;teils gleich;Margo lateralis humeri;Äußerer Rand des Humerus (Crista supracondylaris lateralis);;https://de.wikipedia.org/wiki/Musculus_brachioradialis
M. brachioradialis;Obere Extremität;Ellenbogen;Ansatz;teils gleich;Radiale Fläche des Proc. styloideus radii;Radius (Processus styloideus radii);;https://de.wikipedia.org/wiki/Musculus_brachioradialis
M. brachioradialis;Obere Extremität;Ellenbogen;Funktion;Freitext — nur lesen;"Ellenbogenflexion; führt den Unterarm in Mittelstellung";Flexion, Pronation und Supination des Unterarms;;https://de.wikipedia.org/wiki/Musculus_brachioradialis
M. brachioradialis;Obere Extremität;Ellenbogen;Innervation;teils gleich;N. radialis;Nervus radialis des Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_brachioradialis
M. brachioradialis;Obere Extremität;Ellenbogen;Segmente;gleich;C5, C6, C7;C5–C7;;https://de.wikipedia.org/wiki/Musculus_brachioradialis
M. coccygeus;Wirbelsäule & Rumpf;Beckenboden;Ursprung;gleich;Spina ischiadica;Spina ischiadica;;https://de.wikipedia.org/wiki/Musculus_coccygeus
M. coccygeus;Wirbelsäule & Rumpf;Beckenboden;Ansatz;abweichend;Lateraler Rand des Os sacrum und Os coccygis (oberer Teil);Os coccygis;;https://de.wikipedia.org/wiki/Musculus_coccygeus
M. coccygeus;Wirbelsäule & Rumpf;Beckenboden;Funktion;Freitext — nur lesen;"Der M. coccygeus hebt den Beckenboden an und zieht das Os coccygis nach ventral; damit sichert er die Lage der Beckeneingeweide und trägt zur Erhöhung des intraabdominalen Drucks bei, etwa beim Husten, Pressen oder Niesen.";unterstützt den Musculus levator ani fixiert das Steißbein verschließt nach dorsal hin das Becken (zusammen mit dem Musculus piriformis);;https://de.wikipedia.org/wiki/Musculus_coccygeus
M. coccygeus;Wirbelsäule & Rumpf;Beckenboden;Innervation;teils gleich;Plexus sacralis;Nervus coccygeus (Plexus coccygeus);;https://de.wikipedia.org/wiki/Musculus_coccygeus
M. coccygeus;Wirbelsäule & Rumpf;Beckenboden;Segmente;abweichend;S4, S5;S5 bis Co2;nur bei mir: S4 | nur Wikipedia: Co1, Co2;https://de.wikipedia.org/wiki/Musculus_coccygeus
M. coracobrachialis;Obere Extremität;Schultergürtel;Ursprung;teils gleich;Proc. coracoideus der Scapula;Processus coracoideus des Schulterblatts;;https://de.wikipedia.org/wiki/Musculus_coracobrachialis
M. coracobrachialis;Obere Extremität;Schultergürtel;Ansatz;abweichend;Margo medialis humeri;Innere Seite des Humerus, gegenüber der Tuberositas deltoidea;;https://de.wikipedia.org/wiki/Musculus_coracobrachialis
M. coracobrachialis;Obere Extremität;Schultergürtel;Funktion;Freitext — nur lesen;Flexion und Adduktion im Schultergelenk;Adduktion, Anteversion und Innenrotation des Arms;;https://de.wikipedia.org/wiki/Musculus_coracobrachialis
M. coracobrachialis;Obere Extremität;Schultergürtel;Innervation;teils gleich;N. musculocutaneus;Nervus musculocutaneus des Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_coracobrachialis
M. coracobrachialis;Obere Extremität;Schultergürtel;Segmente;gleich;C6, C7;C6, C7;;https://de.wikipedia.org/wiki/Musculus_coracobrachialis
M. corrugator supercilii;Kopf & Hals;Mimikmuskulatur;Ursprung;abweichend;Medial unter der Augenbraue (Os frontale, Glabellabereich);Arcus superciliaris;;https://de.wikipedia.org/wiki/Musculus_corrugator_supercilii
M. corrugator supercilii;Kopf & Hals;Mimikmuskulatur;Ansatz;abweichend;Haut der medialen Augenbraue;Stirnhaut;;https://de.wikipedia.org/wiki/Musculus_corrugator_supercilii
M. corrugator supercilii;Kopf & Hals;Mimikmuskulatur;Funktion;Freitext — nur lesen;"Der M. corrugator supercilii zieht die Augenbraue nach medial und inferior und erzeugt senkrechte Falten an der Glabella (Zornesfalte); er drückt Anspannung und Missbilligung aus und antagonisiert den M. frontalis.";Zusammenziehen der Augenbrauen, vertikale Fältelung der Stirn;;https://de.wikipedia.org/wiki/Musculus_corrugator_supercilii
M. corrugator supercilii;Kopf & Hals;Mimikmuskulatur;Innervation;teils gleich;N. facialis (VII);Nervus facialis (Hirnnerv VII);;https://de.wikipedia.org/wiki/Musculus_corrugator_supercilii
M. corrugator supercilii;Kopf & Hals;Mimikmuskulatur;Segmente;beide leer;;;;https://de.wikipedia.org/wiki/Musculus_corrugator_supercilii
M. deltoideus;Obere Extremität;Schultergürtel;Ursprung;teils gleich;"Pars clavicularis: Extremitas acromialis der Clavicula; Pars acromialis: Akromion; Pars spinalis: Spina scapulae";Pars clavicularis: Schlüsselbein · Pars acromialis: Acromion des Schulterblatts · Pars spinalis: Schulterblatt (Spina scapulae);;https://de.wikipedia.org/wiki/Musculus_deltoideus
M. deltoideus;Obere Extremität;Schultergürtel;Ansatz;gleich (andere Worte);Tuberositas deltoidea humeri;Oberarmknochen (Tuberositas deltoidea humeri);;https://de.wikipedia.org/wiki/Musculus_deltoideus
M. deltoideus;Obere Extremität;Schultergürtel;Funktion;Freitext — nur lesen;"Vor allem Abduktion; je nach Faserzug zusätzlich Flexion, Extension sowie Innen- oder Außenrotation";Anheben des Oberarms;;https://de.wikipedia.org/wiki/Musculus_deltoideus
M. deltoideus;Obere Extremität;Schultergürtel;Innervation;teils gleich;N. axillaris;Nervus axillaris des Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_deltoideus
M. deltoideus;Obere Extremität;Schultergürtel;Segmente;gleich;C5, C6;C5, C6;;https://de.wikipedia.org/wiki/Musculus_deltoideus
M. digastricus;Kopf & Hals;Suprahyoidale Muskeln;Ursprung;teils gleich;"Venter anterior: Fossa digastrica (Innenseite der Mandibula); Venter posterior: Incisura mastoidea (Os temporale)";Venter posterior: Incisura mastoidea des Schläfenbeins - Venter anterior: Fossa digastrica des Unterkiefers;;https://de.wikipedia.org/wiki/Musculus_digastricus
M. digastricus;Kopf & Hals;Suprahyoidale Muskeln;Ansatz;teils gleich;Corpus ossis hyoidei (über Zwischensehne);Zwischensehne (Os hyoideum);;https://de.wikipedia.org/wiki/Musculus_digastricus
M. digastricus;Kopf & Hals;Suprahyoidale Muskeln;Funktion;Freitext — nur lesen;"Der M. digastricus wirkt mit seinen zwei Bäuchen in entgegengesetzten Situationen: Bei fixiertem Zungenbein öffnet er den Mund; bei fixierter Mandibula hebt er das Zungenbein an, was für den oralen und pharyngealen Schluckakt unerlässlich ist.";Öffner der Mundspalte;;https://de.wikipedia.org/wiki/Musculus_digastricus
M. digastricus;Kopf & Hals;Suprahyoidale Muskeln;Innervation;abweichend;N. mylohyoideus (Vorderbauch, V3) / N. facialis (Hinterbauch, VII);Nervus mylohyoideus (Venter anterior) · Ramus digastricus des Nervus facialis (Venter posterior);;https://de.wikipedia.org/wiki/Musculus_digastricus
M. digastricus;Kopf & Hals;Suprahyoidale Muskeln;Segmente;beide leer;;;;https://de.wikipedia.org/wiki/Musculus_digastricus
M. extensor carpi radialis brevis;Obere Extremität;Hand & Finger;Ursprung;teils gleich;Epicondylus lateralis humeri, Lig. collaterale radiale, Lig. anulare radii;Epicondylus lateralis des Oberarmknochens;;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_radialis_brevis
M. extensor carpi radialis brevis;Obere Extremität;Hand & Finger;Ansatz;teils gleich;Basis Os metacarpale III;Os metacarpale III;;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_radialis_brevis
M. extensor carpi radialis brevis;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;Dorsalextension und Radialabduktion im Handgelenk;Strecker des Handgelenks;;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_radialis_brevis
M. extensor carpi radialis brevis;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. radialis;Nervus radialis des Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_radialis_brevis
M. extensor carpi radialis brevis;Obere Extremität;Hand & Finger;Segmente;abweichend;C6, C7;C5–C7;nur Wikipedia: C5;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_radialis_brevis
M. extensor carpi radialis longus;Obere Extremität;Hand & Finger;Ursprung;abweichend;Margo lateralis humeri;Oberarmknochen (Crista supracondylaris lateralis);;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_radialis_longus
M. extensor carpi radialis longus;Obere Extremität;Hand & Finger;Ansatz;gleich (andere Worte);Basis Os metacarpale II;Basis des Os metacarpale II;;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_radialis_longus
M. extensor carpi radialis longus;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;Dorsalextension und Radialabduktion im Handgelenk;Strecker des Handgelenks;;https://de.wikipedia.org/wiki/Musculus_extensor_carpi_radialis_longus
